code,Month,year,burn debris,Avg Daily Disch  Nr nrst gage,Preceding Yr Dry  Duration (ys),Total inverts,Total non-insects,Total insects,Total amphibians,Turbellaria,Mollusks ,Crustacea,Ephemerop,Plecoptera,Trichoptera,EPT,Odonata,Coleoptera,Hemiptera,OCH,Megaloptera ,Diptera,Sensitive,Medium,Tolerant,Coll-gath,Coll-filt,Filter-lent,Grazer,Predator,Piercer,Shredder,Semi,Uni,Multi,Fast seas,Non-seas,small,medium,large,Cold steno,Cool_warm eury,Warm eury,Pool,Mixed,Riffle,No wings,Weak flght,Strong flght,Rare drift,Occ-com drift,Abund drift,Cut resp,Gills,Atmospheric,Taxa richness,Pielou's J,rarified_taxa,Biotic index,Thermal index
csp,6,2013,1,0.0040,0.38,592,42,550,68,2,40,0,269,0,9,278,198,13,59,269,0,2.5,232,28,333,254.2,0,3,123,266,5,9,8,466,118,570,21.7,101.7,278.3,211.7,13,565,14,575,45,40,42,475,75,343,248,0,2,476,114,15,0.68,10.4,1.8679,15.6662
mrn,6,2013,1,0.0030,0,663,233,430,1,39,194,0,12,0,56,68,182,5,154,341,17,4,12,131,519,12,0,110,90,392,3,57,16,363,283,565,97,205,275,182,4,654,4,528,90,46,233,257,173,595,68,0,39,376,248,18,0.71,10.3,4.4312,17.3171
ral,6,2013,1,0.0039,0,838,20,818,16,2,18,0,38,0,341,379,262,18,159,439,0,0,362,68,408,33,0,0,45,437,10,329,38,626,174,445,393,41,530,267,331,502,5,464,31,359,20,605,213,457,381,0,14,635,189,16,0.62,9.8,2.7867,15.9618
rau,6,2013,1,0.0039,0,1142,1,1141,2,1,0,0,18,0,739,757,196,9,179,384,0,0,760,35,347,18,0,0,10,377,0,739,20,944,178,374,768,10,937,195,744,390,8,381,8,755,1,937,204,385,757,0,1,961,180,14,0.43,6.1,1.9556,15.7349
ref,6,2013,0,0.0101,0.19,734,104,630,2,2,102,0,60,0,231,291,78,17,191,286,53,0,178,193,363,60,0,8,97,340,0,231,7,427,300,432,302,132,518,84,138,582,14,505,98,133,104,414,216,498,233,3,2,433,299,21,0.76,11.8,2.2343,17.0052
rom,6,2013,0,0.0039,0,5252,4735,517,24,26,4709,0,65,0,92,157,260,8,91,359,0,1,149,182,4803,64,1,4591,147,387,2,84,65,4951,118,4895,239,4604,344,186,88,4964,82,4944,143,189,4735,358,159,5082,166,4,35,5118,99,24,0.75,13.1,6.4436,18.1568
sau,6,2013,2,0.0030,0.19,560,220,340,397.5,0,220,0,17.5,0,0,17.5,232.5,40,22.5,295,0,27.5,0,33,520,17.5,0,28,620,293,0,0,18,303,233,535,17.5,290,10,252.5,23,503,28,708,228,23,220,280,60,558,2.5,0,0,250,310,13,0.61,8.1,3.5542,19.4753
sou,6,2013,0,0.0100,0,1001,28,973,5,0,28,0,194,0,382,576,67,5,297,369,24,4,401,227,371,196,0,0,33,395,0,382,4,569,426,471,528,136,812,51,311,571,117,637,29,340,28,670,303,571,427,3,4,668,329,24,0.61,10.7,2.9258,16.7137
srl,6,2013,2,0.0030,0.19,500,208,292,332,12,196,0,40,0,0,40,117,14,89,220,0,32,0,43,453,40,0,32,528,229,3,0,31,132,333,461,35,274,101,121,2,487,7,610,206,16,208,162,130,488,12,0,12,157,331,17,0.62,9.4,3.6809,19.0962
sru,6,2013,1,0.0030,0,582,40,542,17,1,39,0,75,0,149,224,153,18,135,306,11,1,174,93,311,75,0,1,60,308,9,146,54,315,209,341,237,98,322,158,144,415,19,393,49,157,40,341,201,394,188,0,4,389,189,23,0.71,12.6,2.8664,16.5035
syc,6,2013,1,0.0040,0,478,103,375,110,32,71,0,40,0,2,42,120,15,193,328,0,5,5,71,397,40,0,4,182,352,7,3,34,116,323,427,46,121,227,125,3,457,13,460,81,47,103,139,236,440,36,2,32,163,283,22,0.66,11.0,3.7492,17.3477
sys,6,2013,0,0.0039,0,658,212,446,1,0,212,0,15,0,345,360,82,2,1,85,0,1,238,201,121,16,0,93,124,83,0,343,43,487,30,138,422,134,373,53,231,290,39,268,140,251,212,397,49,443,215,0,0,633,25,17,0.59,9.0,1.7575,17.2248
bgu,6,2014,2,0.0046,0,327,2,325,28,0,2,0,93,0,10,103,71,8,141,220,1,1,2,34,287,93,0,1,31,219,1,10,2,85,236,288,35,100,153,70,4,298,21,344,7,4,2,176,149,323,4,0,0,175,152,18,0.59,9.2,2.1777,19.4500
ral,6,2014,1,0.0021,0,312,13,299,4,4,9,0,14,0,72,86,87,5,114,206,0,7,85,33,193,14,0,7,11,208,4,72,27,157,127,206,105,21,204,86,72,236,3,223,14,79,13,153,146,223,89,0,4,173,135,15,0.67,10.3,2.5808,15.9450
ref,6,2014,0,0.0044,0.19,888,157,731,0,5,152,0,74,0,285,359,80,24,216,320,42,10,113,319,455,74,0,56,112,361,0,285,29,494,364,510,377,225,582,80,89,776,22,687,106,95,157,475,256,728,160,0,5,534,349,20,0.73,12.0,3.9417,17.6331
rom,6,2014,0,0.0021,0,1089,669,420,26,30,639,0,88,0,71,159,147,3,111,261,0,0,148,115,731,89,0,544,122,288,1,71,28,830,136,848,146,548,337,109,61,883,50,875,108,132,669,279,141,920,168,1,30,945,114,18,0.79,11.3,5.0569,17.6544
srl,6,2014,2,0.0046,0.19,604,342,262,209,0,342,0,55,0,0,55,77,42.1,38,157.1,0,50,0,23,565,61.7,0,50,551,145,5,0,8,147,433,531.4,56.7,473.1,73,42,5,581,2,446,364,4,342,183.4,78.7,604,0,0,1.7,132,470,19,0.61,11.2,5.9561,19.4876
sru,6,2014,1,0.0046,0,386,9,378,20,1.25,8,0,100,0,12.5,112.5,97.5,16.25,101.25,215,12.5,37.5,19,58,305,100,0,38,28,218,11,13,29,156,196,312.5,68.75,142.5,142.5,96.25,1,376,4,379,24,4,8.75,231.25,146.25,358,28.75,0,1.25,223,163,18,0.77,12.6,4.6856,16.8955
sys,6,2014,0,0.0021,0,259,92,167,9,0,92,0,5,0,84,89,74,1,2,77,0,1,69,59,103,5,0,52,51,76,0,84,25,193,13,109,122,66,100,65,64,154,13,147,46,75,92,138,29,193,66,0,0,243,16,15,0.78,10.9,2.2048,17.4204
taj,6,2014,0,0.0045,0,613,30,583,29,5,25,0,56,0,20,76,289,16,170,475,2,30,17,40,552,56,0,27,54,471,14,20,11,355,243,557,52,112,209,288,6,597,6,590,39,13,30,386,197,589,24,0,8,368,237,21,0.60,11.5,2.7233,17.4811
